City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
grindavik,63.84,-22.43,39.11,93.0,90.0,9.17
amboasary,-25.03,46.38,69.8,92.0,35.0,6.8
provideniya,64.38,-173.3,15.37,94.0,100.0,13.49
fortuna,40.6,-124.16,52.43,93.0,75.0,9.17
powell river,49.85,-124.54,57.2,58.0,20.0,11.41
fairview,40.81,-74.0,42.96,56.0,20.0,10.29
jamestown,42.1,-79.24,33.33,80.0,90.0,6.93
carnarvon,-24.87,113.63,82.4,69.0,32.0,8.05
east london,-33.02,27.91,67.42,81.0,1.0,7.27
krasnoyarka,55.33,73.12,35.6,93.0,0.0,2.24
taoudenni,22.68,-3.98,80.58,14.0,0.0,6.33
leningradskiy,69.38,178.42,15.46,89.0,92.0,7.76
sioux lookout,50.1,-91.92,36.27,64.0,90.0,2.24
holme,56.11,10.17,32.43,86.0,9.0,2.64
dikson,73.51,80.55,10.15,95.0,91.0,11.01
pauini,-7.71,-66.98,74.25,91.0,49.0,0.83
airai,-8.93,125.41,67.87,65.0,58.0,1.12
hilo,19.73,-155.09,69.37,88.0,90.0,6.93
yerbogachen,61.28,108.01,35.02,84.0,100.0,5.57
mar del plata,-38.0,-57.56,55.4,82.0,0.0,6.93
pevek,69.7,170.31,10.26,89.0,100.0,20.31
bambous virieux,-20.34,57.76,77.0,83.0,40.0,6.93
bridgetown,13.1,-59.62,78.8,78.0,40.0,11.41
nuh,28.12,77.02,82.17,50.0,20.0,3.91
ixtapa,20.7,-105.2,76.5,78.0,40.0,4.7
arraial do cabo,-22.97,-42.03,71.91,81.0,83.0,7.36
san cristobal,7.77,-72.22,69.01,62.0,69.0,2.08
norman wells,65.28,-126.83,30.2,36.0,75.0,4.36
longyearbyen,78.22,15.64,-7.6,76.0,20.0,5.82
butaritari,3.07,172.79,84.7,73.0,60.0,8.63
deniliquin,-35.53,144.97,64.99,42.0,59.0,18.01
avera,33.19,-82.53,50.9,50.0,1.0,3.36
tuktoyaktuk,69.45,-133.04,10.4,72.0,20.0,5.82
severo-kurilsk,50.68,156.12,31.59,94.0,52.0,4.94
meaford,44.6,-80.58,33.46,64.0,5.0,17.22
tiksi,71.69,128.87,25.56,93.0,89.0,33.26
dondo,-19.61,34.74,75.2,78.0,40.0,3.36
south bend,41.68,-86.25,38.91,55.0,1.0,3.36
qaanaaq,77.48,-69.36,4.24,74.0,43.0,7.7
katsuura,35.13,140.3,57.94,47.0,40.0,8.05
clyde river,70.47,-68.59,5.0,92.0,1.0,18.34
naze,28.37,129.48,71.6,53.0,75.0,6.93
yuksekova,37.57,44.29,37.4,86.0,40.0,6.93
guerrero negro,27.98,-114.06,60.44,64.0,1.0,15.86
palani,10.47,77.53,82.06,54.0,0.0,4.14
hovd,48.01,91.64,46.11,29.0,92.0,4.88
victoria,22.29,114.16,73.11,83.0,40.0,4.7
khatanga,71.97,102.5,26.35,95.0,96.0,26.62
kapaa,22.08,-159.32,76.57,65.0,75.0,6.93
roverud,60.25,12.05,26.02,74.0,0.0,6.93
fort nelson,58.81,-122.7,32.0,89.0,20.0,9.17
gat,31.61,34.76,53.56,87.0,75.0,8.05
malanje,-9.54,16.34,65.16,68.0,100.0,0.69
sisimiut,66.94,-53.67,30.42,86.0,100.0,8.1
touros,-5.2,-35.46,78.8,88.0,40.0,3.36
dwarka,22.24,68.97,78.91,75.0,0.0,9.55
koster,-25.86,26.9,52.7,52.0,69.0,3.6
souillac,-20.52,57.52,77.0,83.0,40.0,6.93
hargeysa,9.56,44.06,72.01,49.0,1.0,9.66
broken hill,-31.95,141.43,73.4,40.0,0.0,21.92
atuona,-9.8,-139.03,82.45,75.0,84.0,11.34
chamonix-mont-blanc,45.92,6.87,41.59,53.0,0.0,3.36
grand gaube,-20.01,57.66,77.0,83.0,40.0,6.93
umm lajj,25.02,37.27,68.95,46.0,34.0,12.1
sao joao da barra,-21.64,-41.05,71.67,82.0,100.0,2.08
teguldet,57.31,88.17,37.54,74.0,38.0,4.92
upernavik,72.79,-56.15,10.89,85.0,0.0,9.78
nikolskoye,59.7,30.79,30.7,96.0,75.0,6.71
yellowknife,62.46,-114.35,17.35,72.0,75.0,10.29
andradina,-20.9,-51.38,66.45,73.0,0.0,5.17
aklavik,68.22,-135.01,21.2,53.0,75.0,8.05
lewisporte,49.25,-55.05,33.58,100.0,75.0,11.41
torbay,47.67,-52.73,36.9,93.0,90.0,8.05
tazovskiy,67.47,78.7,15.78,93.0,69.0,8.81
kansanshi,-12.1,26.43,58.35,65.0,95.0,6.58
srednekolymsk,67.45,153.68,29.7,98.0,100.0,6.96
yabelo,4.88,38.08,58.03,58.0,29.0,4.76
morondava,-20.28,44.28,76.64,76.0,0.0,4.41
tasiilaq,65.61,-37.64,24.8,53.0,99.0,2.24
lewistown,40.6,-77.57,36.93,51.0,20.0,13.87
nanortalik,60.14,-45.24,32.27,90.0,100.0,4.52
inuvik,68.35,-133.72,21.2,53.0,75.0,8.05
bykovo,55.64,38.08,28.99,85.0,38.0,4.45
tyukhtet,56.54,89.3,37.44,71.0,65.0,5.73
san luis,-33.3,-66.34,61.32,43.0,0.0,16.62
maceio,-9.67,-35.74,80.01,81.0,57.0,6.71
puerto ayora,-0.74,-90.35,80.01,87.0,87.0,1.99
starogard gdanski,53.96,18.53,32.41,86.0,0.0,2.24
mantua,45.17,10.78,49.77,57.0,0.0,3.36
pietersburg,-23.9,29.47,54.97,87.0,56.0,3.36
vila velha,-20.33,-40.29,73.18,94.0,90.0,3.36
ayorou,14.73,0.92,82.58,31.0,77.0,6.49
valer,60.68,11.83,25.92,74.0,0.0,6.93
flin flon,54.77,-101.86,23.43,94.0,95.0,10.09
bondo,3.81,23.69,70.14,85.0,100.0,1.19
batemans bay,-35.72,150.18,66.11,58.0,28.0,7.0
dingle,11.0,122.67,86.9,56.0,50.0,12.3
yeniseysk,58.45,92.17,38.79,72.0,100.0,6.31
beloha,-25.17,45.05,70.25,84.0,19.0,13.69
geraldton,-28.77,114.6,94.21,18.0,97.0,10.29
port-gentil,-0.72,8.78,81.54,83.0,100.0,12.53
georgetown,5.41,100.34,85.33,74.0,20.0,6.93
benemerito de las americas,16.52,-90.64,83.32,54.0,96.0,4.18
bluff,-46.6,168.33,62.13,57.0,1.0,2.95
ibotirama,-12.19,-43.22,71.98,78.0,100.0,1.14
hamilton,39.18,-84.53,38.7,69.0,1.0,5.12
talnakh,69.49,88.4,17.6,78.0,20.0,17.9
olga,43.74,135.29,33.37,92.0,100.0,15.35
sinnamary,5.38,-52.95,79.36,82.0,95.0,11.74
hermanus,-34.42,19.23,62.01,90.0,99.0,3.0
victor harbor,-35.57,138.62,62.76,48.0,40.0,20.8
usakos,-22.0,15.6,72.72,44.0,2.0,7.11
birin,26.89,88.07,71.55,22.0,0.0,4.09
namibe,-15.2,12.15,75.2,62.0,77.0,7.63
sagua la grande,22.81,-80.08,80.6,74.0,20.0,3.36
cidreira,-30.18,-50.21,62.73,82.0,7.0,4.36
ambunti,-4.24,142.84,92.07,54.0,90.0,1.54
bonthe,7.53,-12.51,80.78,86.0,71.0,4.03
nouadhibou,20.93,-17.03,69.8,68.0,0.0,25.28
jalu,29.03,21.55,54.72,66.0,0.0,9.1
riyadh,24.69,46.72,78.8,24.0,40.0,8.05
honiara,-9.43,159.95,87.8,74.0,40.0,6.93
dzhida,50.68,106.18,58.15,25.0,0.0,4.41
de aar,-30.65,24.01,59.49,58.0,4.0,11.59
manono,-7.3,27.42,68.81,78.0,98.0,4.41
saint-philippe,-21.36,55.77,69.12,73.0,20.0,8.05
saint-augustin,51.23,-58.65,28.04,98.0,100.0,8.66
barrow,71.29,-156.79,-0.4,70.0,90.0,11.41
tilichiki,60.47,166.1,16.29,92.0,0.0,4.76
makakilo city,21.35,-158.09,79.61,57.0,1.0,11.41
conde,-7.26,-34.91,78.8,94.0,20.0,3.36
petropavl,54.88,69.16,40.77,71.0,0.0,9.22
san quintin,30.48,-115.95,58.82,73.0,99.0,7.7
onguday,50.75,86.15,37.26,53.0,14.0,2.44
turukhansk,65.82,87.98,30.92,98.0,100.0,14.85
sarandi,-23.44,-51.87,60.64,51.0,48.0,0.29
zhuanghe,39.7,122.99,54.12,40.0,0.0,2.06
esperantina,-3.9,-42.23,74.44,94.0,98.0,2.3
etoka,43.92,43.05,34.2,86.0,7.0,8.95
aguimes,27.91,-15.45,67.12,72.0,40.0,20.8
caravelas,-17.71,-39.25,76.96,87.0,40.0,10.98
vestmanna,62.16,-7.17,44.6,100.0,100.0,9.17
margate,51.38,1.39,50.9,93.0,31.0,10.29
polson,47.69,-114.16,52.61,29.0,90.0,6.93
tuatapere,-46.13,167.68,65.21,50.0,2.0,3.56
faya,18.39,42.45,63.5,77.0,66.0,9.17
klaksvik,62.23,-6.59,44.6,100.0,100.0,9.17
dicabisagan,17.08,122.42,81.07,70.0,84.0,3.11
khani,41.96,42.96,48.2,93.0,100.0,2.24
havre-saint-pierre,50.23,-63.6,30.2,86.0,90.0,18.34
tiznit,29.58,-9.5,62.42,65.0,21.0,2.64
olavarria,-36.89,-60.32,55.99,76.0,0.0,1.99
ilinskiy,55.62,38.12,29.08,85.0,36.0,4.38
rawson,-43.3,-65.1,69.62,44.0,60.0,15.99
springbok,-29.66,17.89,49.41,45.0,0.0,0.85
dalmatovo,56.26,62.94,39.81,69.0,0.0,10.51
diffa,13.32,12.61,80.08,21.0,100.0,7.9
kosice,48.67,21.33,42.4,52.0,93.0,8.05
sao bento,-6.28,-37.75,72.41,82.0,69.0,4.03
sandakan,5.84,118.12,84.09,83.0,40.0,5.82
ilulissat,69.22,-51.1,30.2,46.0,61.0,10.29
salamanca,40.83,-6.0,50.86,100.0,90.0,5.82
porbandar,21.64,69.61,80.94,56.0,0.0,10.27
jumla,29.27,82.18,56.75,17.0,2.0,2.68
hambantota,6.12,81.12,83.26,74.0,9.0,12.44
kavaratti,10.57,72.64,84.74,70.0,38.0,7.38
codrington,-38.27,141.97,56.48,58.0,85.0,27.25
fairbanks,64.84,-147.72,34.03,80.0,90.0,13.87
abha,18.22,42.51,63.45,77.0,58.0,9.17
buncrana,55.13,-7.45,50.81,94.0,93.0,6.93
lethem,3.38,-59.8,81.72,68.0,63.0,9.95
okha,53.57,142.95,32.31,92.0,0.0,7.34
atambua,-9.11,124.89,81.21,64.0,22.0,2.24
asau,46.43,26.4,37.81,55.0,98.0,4.7
avarua,-21.21,-159.78,84.2,89.0,100.0,6.93
sao filipe,14.9,-24.5,75.15,73.0,76.0,8.25
ossora,59.24,163.07,21.29,94.0,65.0,2.98
egvekinot,66.32,-179.17,13.62,87.0,12.0,2.66
oistins,13.07,-59.53,78.8,78.0,40.0,11.41
yar-sale,66.83,70.83,23.04,98.0,100.0,19.06
gonzalez,30.58,-87.29,58.5,44.0,1.0,9.17
princeton,25.54,-80.41,79.07,83.0,1.0,10.29
bhum,18.47,75.67,87.48,20.0,65.0,10.11
lorengau,-2.02,147.27,83.93,73.0,65.0,3.85
san ignacio,17.16,-89.07,78.01,86.0,23.0,5.99
tateyama,34.98,139.87,57.45,44.0,20.0,13.87
bilma,18.69,12.92,76.82,16.0,79.0,13.76
inhambane,-23.86,35.38,70.43,76.0,5.0,4.47
la ronge,55.1,-105.28,24.8,79.0,90.0,18.34
nuuk,64.18,-51.72,30.09,80.0,100.0,3.36
rawlins,41.79,-107.24,50.9,22.0,1.0,13.87
vila franca do campo,37.72,-25.43,59.0,72.0,20.0,11.41
kajiado,-1.85,36.78,59.94,93.0,20.0,1.63
taltal,-25.4,-70.48,61.7,78.0,22.0,3.06
shangzhi,45.22,127.97,51.15,43.0,0.0,13.18
pisco,-13.7,-76.22,71.76,83.0,0.0,8.05
charsadda,34.14,71.73,64.4,63.0,40.0,4.7
weihe,33.0,105.32,57.06,23.0,99.0,7.78
marshall,34.38,-86.33,44.4,45.0,1.0,3.36
qui nhon,13.77,109.23,86.07,64.0,63.0,2.51
talara,-4.58,-81.27,75.9,71.0,34.0,9.98
donskoye,45.46,41.97,43.39,71.0,0.0,15.66
bubaque,11.28,-15.83,77.9,80.0,10.0,10.36
castro,-24.79,-50.01,55.53,72.0,42.0,5.37
ust-kuyga,70.02,135.6,32.0,87.0,67.0,18.1
manokwari,-0.87,134.08,83.91,65.0,3.0,2.53
huarmey,-10.07,-78.15,74.62,75.0,41.0,7.81
saiha,22.48,92.97,90.5,14.0,0.0,3.51
saldanha,-33.01,17.94,62.6,88.0,84.0,3.36
cherskiy,68.75,161.3,15.91,95.0,100.0,18.45
bengkulu,-3.8,102.27,85.03,63.0,100.0,2.08
bethel,41.37,-73.41,42.19,48.0,90.0,11.41
lompoc,34.64,-120.46,56.82,82.0,1.0,11.41
half moon bay,37.46,-122.43,57.02,87.0,75.0,10.29
mangai,-4.05,19.53,70.03,87.0,95.0,1.88
neiafu,-18.65,-173.98,77.94,64.0,47.0,8.32
frontera,26.93,-101.45,78.01,61.0,98.0,4.0
faanui,-16.48,-151.75,83.64,70.0,94.0,5.82
lagoa,39.05,-27.98,61.12,72.0,93.0,6.6
otane,-39.88,176.63,69.01,53.0,89.0,7.34
dubbo,-32.25,148.62,71.6,46.0,0.0,20.8
kungurtug,50.6,97.52,44.04,34.0,100.0,1.12
cabo san lucas,22.89,-109.91,68.45,60.0,75.0,10.29
sorland,67.67,12.69,33.89,82.0,100.0,12.82
triolet,-20.05,57.55,77.0,83.0,40.0,6.93
laishevo,55.4,49.55,42.8,70.0,75.0,4.47
khovu-aksy,51.13,93.6,35.06,49.0,7.0,3.78
kieta,-6.22,155.63,84.51,74.0,72.0,5.86
te anau,-45.42,167.72,60.12,54.0,8.0,8.25
lasa,46.62,10.7,41.32,41.0,5.0,2.24
santa maria do para,-1.35,-47.58,75.33,95.0,100.0,1.72
tselinnoye,53.08,85.67,34.81,77.0,0.0,4.38
comodoro rivadavia,-45.87,-67.5,59.0,87.0,75.0,5.82
olafsvik,64.89,-23.71,36.46,81.0,22.0,15.46
pangnirtung,66.15,-65.71,13.73,79.0,96.0,4.56
huambo,-12.78,15.74,58.53,59.0,100.0,2.82
kaputa,-8.47,29.66,65.43,68.0,52.0,4.43
aliwal north,-30.69,26.71,54.25,55.0,41.0,6.22
cayenne,4.93,-52.33,80.6,88.0,75.0,3.36
ostrovnoy,68.05,39.51,11.7,95.0,56.0,8.99
selenginsk,52.01,106.86,46.4,28.0,0.0,2.24
saskylakh,71.92,114.08,30.72,94.0,86.0,20.65
qixingtai,30.41,111.89,54.0,66.0,100.0,18.32
alugan,12.22,125.48,82.99,67.0,34.0,7.56
almeirim,-1.52,-52.58,73.94,97.0,100.0,3.8
mackay,-21.15,149.2,82.8,65.0,73.0,10.29
necochea,-38.55,-58.74,51.03,92.0,0.0,4.0
taveta,-3.4,37.67,69.8,94.0,75.0,6.11
bowen,-20.02,148.23,85.35,51.0,66.0,5.82
santo tomas,14.11,121.14,86.97,62.0,40.0,8.05
sola,-13.88,167.55,80.65,73.0,64.0,12.28
vitim,59.45,112.56,44.6,74.0,98.0,1.7
narsaq,60.92,-46.05,46.4,22.0,100.0,26.4
griffith,41.53,-87.42,42.21,65.0,1.0,3.36
pachino,36.72,15.09,47.62,75.0,38.0,5.82
san isidro,-12.12,-77.05,69.8,88.0,40.0,12.75
port alfred,-33.59,26.89,64.45,87.0,13.0,6.2
hongjiang,27.11,110.0,54.03,82.0,100.0,5.77
sabzevar,36.21,57.68,57.42,61.0,100.0,7.09
romodanovo,54.43,45.33,35.85,90.0,100.0,11.36
ponta do sol,32.67,-17.1,60.69,59.0,20.0,8.05
leshukonskoye,64.9,45.76,16.99,94.0,20.0,2.57
tecoanapa,16.52,-98.75,78.26,81.0,4.0,2.68
khorixas,-20.37,14.97,71.4,46.0,0.0,10.67
bandarbeyla,9.49,50.81,79.88,70.0,39.0,5.88
mabaruma,8.2,-59.78,74.59,85.0,100.0,5.12
camopi,3.17,-52.32,73.63,95.0,100.0,1.57
iqaluit,63.75,-68.51,14.0,78.0,75.0,2.24
kidal,18.44,1.41,81.63,21.0,33.0,6.53
san patricio,19.22,-104.7,77.81,60.0,0.0,12.84
demyansk,57.64,32.47,30.51,96.0,78.0,2.95
ambon,-3.7,128.18,91.4,52.0,20.0,10.29
bageshwar,29.85,79.77,75.25,22.0,0.0,0.54
wilhelmsburg,48.11,15.61,48.72,68.0,96.0,0.45
palmer,42.16,-72.33,38.35,64.0,20.0,5.82
nara,34.69,135.8,54.41,47.0,75.0,4.7
yanji,42.91,129.51,58.51,29.0,29.0,9.46
skarnes,60.25,11.68,28.99,74.0,0.0,6.93
obregon,11.96,-85.96,87.8,52.0,20.0,6.93
santa maria,-29.68,-53.81,55.18,85.0,11.0,3.13
mariestad,58.71,13.82,28.58,92.0,0.0,2.24
port elizabeth,-33.92,25.57,55.4,100.0,7.0,2.24
gerash,27.67,54.14,66.2,63.0,93.0,6.55
zagreb,45.81,15.98,51.46,66.0,49.0,4.7
bundaberg,-24.85,152.35,83.79,61.0,40.0,8.05
sitka,57.05,-135.33,46.4,36.0,1.0,4.7
qaqortoq,60.72,-46.03,46.4,22.0,100.0,26.4
sibolga,1.74,98.78,87.69,57.0,65.0,2.55
staryy nadym,65.61,72.68,35.01,99.0,100.0,17.47
hecun,36.53,114.11,52.21,42.0,0.0,6.73
kodiak,57.79,-152.41,39.2,69.0,1.0,9.17
skjervoy,70.03,20.97,30.58,96.0,100.0,22.75
pontal do parana,-25.65,-48.51,57.2,100.0,75.0,6.93
muscat,23.61,58.59,80.6,78.0,72.0,4.7
bar harbor,44.39,-68.2,32.76,93.0,75.0,5.82
san ramon,37.78,-121.98,57.45,67.0,1.0,12.75
normandin,48.83,-72.53,37.4,51.0,90.0,16.11
linjiang,41.81,126.91,55.13,29.0,0.0,7.52
husavik,66.04,-17.34,28.4,92.0,40.0,9.17
ecclefechan,55.06,-3.27,53.31,79.0,100.0,1.99
natal,-5.79,-35.21,80.6,88.0,40.0,3.36
saint-georges,12.06,-61.75,80.6,83.0,20.0,13.87
mahebourg,-20.41,57.7,77.0,83.0,40.0,6.93
soe,-9.86,124.28,73.69,69.0,53.0,2.59
darnah,32.77,22.64,57.94,70.0,0.0,17.38
garissa,-0.45,39.64,78.44,71.0,46.0,11.77
oriximina,-1.77,-55.87,77.47,91.0,99.0,4.5
sorong,-0.88,131.25,88.07,61.0,32.0,3.02
siparia,10.13,-61.5,78.55,83.0,20.0,13.78
aitape,-3.14,142.35,85.42,68.0,100.0,5.57
redmond,47.67,-122.12,57.79,59.0,75.0,5.82
champerico,14.3,-91.92,83.71,73.0,85.0,9.48
goderich,43.75,-81.72,33.76,73.0,68.0,10.58
mwinilunga,-11.74,24.43,60.37,64.0,97.0,5.17
seoul,37.57,126.98,53.56,50.0,1.0,3.36
mogzon,51.74,111.96,56.71,23.0,0.0,3.6
hohhot,40.81,111.65,50.0,18.0,0.0,8.95
awjilah,29.11,21.29,54.19,69.0,0.0,8.72
swan hill,-35.34,143.55,65.88,30.0,10.0,21.9
tahe,52.33,124.73,52.34,37.0,0.0,8.66
bosaso,11.28,49.18,81.25,68.0,3.0,13.02
careiro da varzea,-3.2,-59.81,80.65,83.0,75.0,6.93
oussouye,12.48,-16.55,69.12,83.0,0.0,4.45
flinders,-34.58,150.86,74.44,38.0,40.0,32.21
westport,41.14,-73.36,42.85,48.0,90.0,11.41
micheweni,-4.97,39.83,82.83,78.0,100.0,18.77
thinadhoo,0.53,72.93,84.04,62.0,5.0,3.96
newport,51.59,-3.0,51.48,66.0,99.0,5.82
iguape,-24.71,-47.56,67.24,77.0,96.0,2.37
campbellsville,37.34,-85.34,41.76,48.0,1.0,4.27
muyezerskiy,63.93,31.65,22.44,93.0,25.0,5.66
cairns,-16.92,145.77,85.69,62.0,90.0,6.93
mayo,38.89,-76.51,43.09,42.0,1.0,10.29
chekhov,55.14,37.47,28.94,79.0,64.0,4.47
lieksa,63.32,30.02,24.8,92.0,11.0,2.71
opuwo,-18.06,13.84,66.97,54.0,26.0,5.93
turbat,26.0,63.04,85.1,31.0,57.0,2.93
poum,-20.23,164.02,78.24,66.0,99.0,7.09
maniitsoq,65.42,-52.9,33.96,82.0,100.0,3.69
kruisfontein,-34.0,24.73,56.91,52.0,25.0,5.3
yendi,9.44,-0.01,80.56,61.0,99.0,3.38
zhigansk,66.77,123.37,30.4,95.0,33.0,15.93
road town,18.42,-64.62,79.57,78.0,40.0,5.82
balakhta,55.38,91.6,35.15,72.0,0.0,3.96
mildura,-34.2,142.15,66.58,48.0,75.0,17.22
kachug,53.96,105.88,53.44,35.0,32.0,3.85
san rafael,-34.62,-68.33,63.72,45.0,0.0,10.45
lincoln,40.8,-96.67,46.89,39.0,1.0,9.17
wakema,16.6,95.18,92.16,38.0,86.0,5.39
marienburg,54.04,19.03,32.05,86.0,0.0,2.24
el vigia,8.62,-71.65,81.39,61.0,96.0,3.29
poladpur,17.98,73.47,89.02,37.0,82.0,1.81
buraydah,26.33,43.98,64.4,42.0,24.0,9.17
vardo,70.37,31.11,29.03,90.0,100.0,20.94
dayong,25.02,118.29,68.0,77.0,90.0,2.24
almaznyy,48.04,40.05,46.4,75.0,40.0,8.95
chernyshevskiy,63.01,112.47,33.37,77.0,100.0,9.28
pshekhskaya,44.7,39.8,45.27,81.0,0.0,6.71
capanema,-1.2,-47.18,75.97,95.0,100.0,1.97
cicevac,43.72,21.44,42.37,65.0,9.0,1.12
bambanglipuro,-7.95,110.28,85.23,68.0,14.0,3.29
znamenskoye,57.13,73.83,38.82,90.0,82.0,6.49
winnemucca,40.97,-117.74,61.32,23.0,1.0,6.93
escarcega,18.61,-90.75,83.53,46.0,99.0,3.74
amuntai,-2.42,115.25,81.73,90.0,78.0,3.27
kargasok,59.06,80.86,33.04,92.0,3.0,8.21
yatou,37.15,122.38,50.13,51.0,98.0,5.64
xichang,27.9,102.26,65.91,32.0,59.0,3.71
ahuimanu,21.44,-157.84,79.52,51.0,75.0,9.17
tooele,40.53,-112.3,55.26,47.0,1.0,1.92
yeppoon,-23.13,150.73,86.0,55.0,69.0,3.36
senno,59.53,33.92,28.53,94.0,94.0,3.22
adrar,20.5,-10.07,77.05,17.0,0.0,11.45
puerto del rosario,28.5,-13.86,66.2,72.0,62.0,13.87
yenagoa,4.92,6.26,77.99,90.0,31.0,0.83
visavadar,21.38,70.68,85.59,30.0,0.0,6.87
haines junction,60.75,-137.51,24.06,83.0,3.0,2.46
cape coast,5.11,-1.25,80.47,84.0,80.0,7.85
zachepylivka,49.19,35.24,39.63,70.0,0.0,9.53
buenaventura,3.88,-77.03,76.53,90.0,99.0,2.13
shingu,33.73,135.98,55.4,47.0,75.0,10.29
pilot butte,50.47,-104.42,33.26,64.0,75.0,17.22
la baule-escoublac,47.29,-2.36,50.97,87.0,0.0,3.36
coxim,-18.51,-54.76,73.38,72.0,45.0,3.44
amapa,1.0,-52.0,72.39,90.0,100.0,0.65
shediac,46.22,-64.54,30.6,92.0,90.0,14.99
dhidhdhoo,6.88,73.1,84.78,65.0,45.0,5.5
saint george,37.1,-113.58,56.32,41.0,1.0,16.11
sur,22.57,59.53,84.31,41.0,81.0,7.36
constitucion,-35.33,-72.42,54.81,89.0,100.0,8.86
kermanshah,34.31,47.06,42.8,87.0,20.0,2.59
sarakhs,36.54,61.16,59.0,87.0,90.0,6.93
pak phanang,8.35,100.2,93.2,59.0,75.0,5.82
chapais,49.78,-74.85,32.0,95.0,90.0,6.93
biskamzha,53.45,89.53,36.48,64.0,2.0,1.45
ergani,38.27,39.76,43.77,93.0,75.0,4.7
nome,64.5,-165.41,32.0,97.0,90.0,11.41
kahului,20.89,-156.47,77.02,51.0,40.0,16.11
hualmay,-11.1,-77.61,72.32,79.0,3.0,7.67
palu,-0.89,119.87,88.81,57.0,25.0,4.47
tura,25.52,90.22,87.4,24.0,0.0,5.99
miandrivazo,-19.52,45.47,75.99,67.0,0.0,3.36
mae sai,20.43,99.88,81.28,61.0,98.0,5.82
rajgarh,28.63,75.38,85.62,22.0,1.0,8.12
port blair,11.67,92.75,83.39,66.0,29.0,7.85
eyl,7.98,49.82,81.46,69.0,40.0,9.57
henties bay,-22.12,14.28,74.32,50.0,28.0,4.88
lubao,14.92,120.55,87.55,59.0,75.0,2.24
dukat,62.55,155.55,13.68,87.0,91.0,7.47
salalah,17.02,54.09,80.6,78.0,40.0,3.36
mongu,-15.25,23.13,62.98,69.0,88.0,5.5
alofi,-19.06,-169.92,82.4,65.0,9.0,5.82
am timan,11.03,20.28,84.61,37.0,98.0,3.2
port augusta,-32.5,137.77,66.78,59.0,90.0,18.34
bandundu,-3.32,17.37,72.57,85.0,89.0,2.55
tucuman,-26.82,-65.22,64.4,82.0,72.0,2.24
barahona,18.21,-71.1,78.48,76.0,62.0,2.89
ibra,22.69,58.53,79.92,35.0,45.0,0.6
arona,28.1,-16.68,64.94,72.0,75.0,4.7
north bend,43.41,-124.22,49.91,93.0,90.0,17.22
jutai,-5.18,-68.9,74.68,94.0,99.0,1.88
port hardy,50.7,-127.42,48.2,70.0,40.0,8.05
mulchen,-37.72,-72.23,54.9,78.0,98.0,4.81
zemio,5.03,25.14,71.91,72.0,76.0,4.18
lexington,37.99,-84.48,39.83,52.0,1.0,6.67
aykhal,66.0,111.5,30.2,54.0,100.0,11.18
korla,41.76,86.15,62.17,19.0,66.0,5.91
montreal,45.51,-73.59,38.08,64.0,75.0,16.11
abu samrah,35.3,37.18,49.89,76.0,36.0,8.88
stornoway,58.21,-6.39,48.52,100.0,98.0,13.87
